County,description,Symptoms_mental_illness,Unarmed_Armed,Alleged_Threat_Level,Fleeing,Body_Camera,Geography
Maricopa,"Phoenix police responded to a report of a man looking into vehicles and making offensive gestures at a shopping center at about 10:20 a.m. When the man saw the officer, he ran to a nearby convenience store. While the officer was trying to enter the store, the man threw a drink in their face while trying to leave. After chasing the man, the officer grabbed him, and they fell to the ground, police said. Two more officers arrived, and the three handcuffed him, using a leg restraint. Police said they placed the man in the back of a police vehicle and moved out of the roadway into a parking lot. After police opened the door to speak with the man, they noticed he was dead. Police withheld information about how long the man was in the vehicle. At 10:20 a.m., outside temperatures were 100 degrees Fahrenheit.",Yes,Unarmed/Did Not Have an Actual Weapon,,,,Urban
Kitsap,911 dispatchers received calls just after 7 p.m. about a man who was sitting with his feet dangling off the Bethel Burley overpass. Deputies arrived and Deputy Andrew Hren shot and killed David Pruitte. Details as to what precipitated the killing were withheld by police.,Yes,Unarmed/Did Not Have an Actual Weapon,undetermined,,No,Suburban
Iredell,"Around 4:15 a.m., officers responded to a domestic incident where an assault was reported. One person was shot and killed. Details as to what precipitated the killing were withheld by police.",Yes,Allegedly Armed,attack,,No,Suburban
Los Angeles,"About 3 p.m., officers were chasing a man, who may have been homeless and allegedly had a knife, then shot him after reportedly deploying less-lethal munitions on rooftop parking area of a multi-story building.",Unknown,Allegedly Armed,,,,Urban
Salt Lake,"A non-police person was following a stolen Chevrolet truck that belonged to one of their family members when they called police around 8 p.m. When police found the truck, multiple people inside refused to get out, then at some point one person got out and exchanged gunfire with officers. One person was killed. One officer was wounded.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Sarasota,"Deputies responded to a reported battery around 5 p.m. Adrean Stephenson had left the location and was armed with a knife. She was later found on foot. Stephenson allegedly brandished the knife and confronted deputies. She refused orders to drop the knife, and deputies reportedly shocked her with a stun gun, but it was ineffective. Stephenson continued to ignore their demands, and she was shot and killed by a deputy.",Yes,Allegedly Armed,other,Not fleeing,No,Suburban
Miami-Dade,"Around 1:30 a.m., police went to arrest a 56-year-old man for unspecified reasons, he reportedly barricaded himself in the home. A trying to get the man to surrender, officers stormed into the home. When they did, police say the man shot at them, striking one officer on his ballistic vest. There was an exchange of gunfire, and the man was shot and killed.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Custer,"Around 10 p.m. at the Tin Cup campground in Custer County, Russell Van Liddell reportedly confronted a group of 16 to 18 campers after wandering into their campsite. The campers did not know Liddell and an argument followed. Bonners Ferry Police Chief Brian Zimmerman shot and killed him.",No,Allegedly Armed,attack,Not fleeing,,Undetermined
Medina,"Officers responded to a report that a man with a history of schizophrenia was threatening his mother with a knife, police said. After attempting to contact the occupants of the home, police entered, and they said William Sears charged at them, and they shot and killed him. Sears had attacked and killed his mother with a knife.",Yes,Allegedly Armed,,,,Suburban
Hamblen,"Morristown Police responded to a report of a stabbing. When officers arrived, they found 40-year-old Wendy Lea Pope dead inside of a vehicle; shortly after, officers found 49-year-old Ronald Pope (the victim's husband) inside the couple's apartment. Pope was allegedly armed with a handgun and refused to comply with officers telling him to drop the weapon. Pope reportedly raised the weapon at officers, which then prompted four officers to shoot and kill him.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Rensselaer,"Officer Adam Harbour was off-duty at his home, when he heard a domestic incident upstairs. He went to investigate, and discovered a old man in the process of stabbing his 25-year-old estranged wife. The officer reportedly told the man to back off, before eventually shooting and killing him.",No,Allegedly Armed,,,,Suburban
Wayne,"Officers came upon a man in an intersection with a 32-inch sword. The officers got out of their car, and the man began to run toward them, swinging the sword. They ordered him to drop the weapon. He failed to and advanced, throwing a knife at one of the officers. During a melee, he was shot and killed.",Unknown,Allegedly Armed,attack,Not fleeing,No,Urban
San Bernardino,Officers responded to an unspecified call for service about a man at about 4 p.m. Arriving officers found a man allegedly armed with a knife who was then shot and killed by police. Details as to what precipitated the shooting were withheld by police..,No,Allegedly Armed,,,,Suburban
Hidalgo,Police officers here and a deputy from the Hidalgo County Sheriff's Office shot and killed Sullivan City commissioner Gabriel Salinas during a five-hour standoff that began as a domestic violence complaint.,No,Allegedly Armed,attack,Not fleeing,No,Suburban
Clark,"Officers responded around 2 a.m. to investigate reports of a man with a gun when they saw someone carrying a machete. The officers reportedly ordered the man to drop the knife, but he failed to comply. He allegedly lunged at the officers with the machete raised, and four of the responding officers--Officers Forrest Walker, Laura Meza, Tyler Edwards and Collin Francis--shot and killed the man.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Snohomish,"Police responded to reports of a man slashing tires around 7:30 p.m. The first officer who arrived said that as he approached the man, the man came toward him with a knife. At that point, the officer shot and killed him.",Yes,Allegedly Armed,other,Not fleeing,No,Suburban
Calcasieu,Officers responded to an alleged carjacking at about 8:30 p.m. Officers found the vehicle and chased it. The pursuit ended when the pursued vehicle crashed into a house. Police said the man was in possession of a firearm. Officers shot and killed him.,No,Allegedly Armed,other,Car,No,Urban
Mohave,"A deputy stopped a vehicle at approximately 11:15 p.m. on Highway 68. During the stop, the deputy learned that Jason Henke, known to be a fugitive, was at a home. The deputy responded to the residence, at which time the deputy contacted Henke and reportedly saw that he had a firearm. Henke reportedly was ordered not to reach for the gun. Henke allegedly reached for his gun, and the deputy shot and killed him.",No,Allegedly Armed,,,,Rural
Haywood,"A deputy and two Canton police officers responded to a person armed with a rifle on Old Asheville Highway just after 2 a.m. Upon arrival, the man allegedly fired at officers and shot a deputy. Police shot and killed Jacob Wright.",No,Allegedly Armed,attack,Not fleeing,No,Rural
Sarasota,"Officers responded to a report of a man who was making suicidal threats and possible gunshots. When officers arrived, they found a man in the driveway of his home. The man reportedly reached for a handgun in his waistband and pointed it at two officers, who shot and killed him.",Yes,Allegedly Armed,attack,Not fleeing,No,Suburban
El Paso,A woman called 911 around 3:30 a.m. as she was driving near the University of Texas at El Paso campus. She was on Sun Bowl Drive when a man without any clothing ran after her car. UTEP police officers responded. The man reportedly got combative before they fatally shocked him with a stun gun.,Unknown,Unarmed/Did Not Have an Actual Weapon,,,,Urban
