Victim_age,Victim_gender,Victim_race,Date ,County,Agency_responsible_death,Cause_death
45,Male,Black,20/05/2020,Escambia,U.S. Federal Bureau of Investigation,Gunshot
Unknown,Male,Hispanic,20/05/2020,Alameda,Hayward Police Police Department,Gunshot
32,Male,White,19/05/2020,Mobile,Mobile County Sheriff's Office,Gunshot
69,Male,White,19/05/2020,Leon,Tallahassee Police Department,Gunshot
Unknown,Male,Black,19/05/2020,King,Seattle Police Department,"Gunshot, Taser"
30,Male,White,19/05/2020,Bibb,Bibb County Sheriff's Office,Gunshot
64,Male,White,18/05/2020,St. Francis,St. Francis County Sheriff's Office,Gunshot
29,Male,White,18/05/2020,Hamilton,Hamilton County Sheriff's Office,Gunshot
25,Male,Hispanic,17/05/2020,Franklin,Pasco Police Department,Gunshot
26,Male,White,17/05/2020,Oconto,Oconto County Sheriff's Office,Gunshot
39,Male,White,17/05/2020,East Baton Rouge,East Baton Rouge Parish Sheriff's Office,Gunshot
49,Male,Unknown race,17/05/2020,Shelby,Germantown Department Police,Gunshot
29,Male,Black,16/05/2020,Baltimore,Baltimore County Police Department,Gunshot
38,Male,Black,16/05/2020,Harris,Houston Police Department,Gunshot
42,Male,White,16/05/2020,Meriwether,Greenville Police Department,Gunshot
33,Male,White,15/05/2020,Lafayette,U.S. Marshals,Gunshot
42,Male,Unknown race,15/05/2020,Alameda,Alameda County Sheriff's Office,Gunshot
Unknown,,Unknown race,15/05/2020,Berkeley,Berkeley County Sheriff's Office,Gunshot
Unknown,,Unknown race,15/05/2020,Choctaw,Choctaw County Sheriff's Office,Gunshot
31,Male,White,15/05/2020,Pueblo,Pueblo Police Department,Gunshot
26,Male,Unknown race,14/05/2020,Los Angeles,Los Angeles Police Department,Gunshot
49,Male,White,14/05/2020,Clermont,Union Township Police Department,Gunshot
30,Male,Black,14/05/2020,Harris,Houston Police Department,Gunshot
24,Male,Black,13/05/2020,Wake,Raleigh Police Department,Gunshot
30,Male,Unknown race,13/05/2020,Pennington,Rapid City Police Department,Gunshot
47,Male,White,13/05/2020,Menard,"Texas Department of Public Safety, Schleicher County Sheriff's Office, Menard County Sheriff's Office",Gunshot
37,Male,White,2020-12-05 00:00:00,Volusia,Volusia County Sheriff's Office,Gunshot
25,Male,White,2020-12-05 00:00:00,Nassau,New York Police Department,Gunshot
Unknown,Male,Unknown race,2020-11-05 00:00:00,Orange,Orange County Sheriff's Office,Gunshot
50,Male,White,2020-10-05 00:00:00,San Bernardino,San Bernardino County Sheriff's Office,Gunshot
25,Male,Unknown race,2020-09-05 00:00:00,Greenville,Greenville Police Department,Gunshot
27,Male,White,2020-09-05 00:00:00,Duplin,Duplin County Sheriff's Office,Gunshot
33,Transgender,White,2020-09-05 00:00:00,Mesa,Colorado State Patrol,Gunshot
42,Male,Hispanic,2020-09-05 00:00:00,Brown,Green Bay Police Department,Gunshot
57,Male,White,2020-09-05 00:00:00,Clear Creek,Clear Creek County Sheriff's Office,Gunshot
47,Male,Black,2020-09-05 00:00:00,Evans,Evans County Sheriff's Office,Gunshot
31,Male,Hispanic,2020-08-05 00:00:00,Los Angeles,California Highway Patrol,Gunshot
47,Male,Pacific Islander,2020-08-05 00:00:00,Los Angeles,Pasadena Police Department,Gunshot
48,Male,Black,2020-08-05 00:00:00,Harris,Houston Police Department,Gunshot
19,Male,Black,2020-07-05 00:00:00,Marion,Indianapolis Metropolitan Police Department,Gunshot
21,Male,Hispanic,2020-07-05 00:00:00,Kern,Kern County Sheriff's Office,Gunshot
30,Male,Black,2020-07-05 00:00:00,Montgomery,Montgomery County Police Department,Gunshot
51,Male,White,2020-07-05 00:00:00,Clark,Nevada Highway Patrol,Gunshot
20,Male,Unknown race,2020-06-05 00:00:00,King,Renton Police Department,Gunshot
21,Male,Black,2020-06-05 00:00:00,Marion,Indianapolis Police Department,Gunshot
Unknown,Male,Hispanic,2020-06-05 00:00:00,Adams,Denver Police Department,Gunshot
Unknown,Male,White,2020-06-05 00:00:00,Alamance,"Alamance County Sheriff's Office, Mebane Police Department",Gunshot
20,Male,Hispanic,2020-05-05 00:00:00,Bexar,San Antonio Police Department,"Gunshot, Taser"
21,Male,Black,2020-05-05 00:00:00,Osceola,St. Cloud Police Department,Gunshot
23,Male,Black,2020-05-05 00:00:00,St. Louis,Webster Groves Police Department,Gunshot
34,Male,White,2020-05-05 00:00:00,Jackson,Independence Police Department,Gunshot
40,Male,White,2020-05-05 00:00:00,Clark,Las Vegas Metropolitan Police Department,Gunshot
56,Female,White,2020-05-05 00:00:00,San Mateo,San Mateo County Sheriff's Office,Gunshot
21,Male,Black,2020-04-05 00:00:00,Muskogee,Muskogee Police Department,Gunshot
36,Male,Hispanic,2020-04-05 00:00:00,Los Angeles,California Highway Patrol,Gunshot
36,Male,Unknown race,2020-04-05 00:00:00,Washoe,Sparks Police Department,Gunshot
26,Male,Hispanic,2020-03-05 00:00:00,Santa Clara,San Jose Police Department,Gunshot
38,Male,White,2020-03-05 00:00:00,Johnson,Overland Park Police Department,Gunshot
43,Male,White,2020-03-05 00:00:00,Kendall,Kendall County Sheriff's Office,Gunshot
44,Male,White,2020-03-05 00:00:00,Avery,Caldwell County Sheriff's Office,Gunshot
54,Male,White,2020-03-05 00:00:00,Broward,Fort Lauderdale Police Department,Gunshot
69,Male,White,2020-03-05 00:00:00,Pike,Pike County Sheriff's Office,Gunshot
Unknown,Male,Unknown race,2020-03-05 00:00:00,Orange,Fullerton Police Department,Gunshot
Unknown,Male,White,2020-03-05 00:00:00,Duval,Jacksonville Sheriff's Office,Gunshot
28,Male,Unknown race,2020-03-05 00:00:00,Morgan,Sterling Police Department,Gunshot
21,Male,Black,2020-01-05 00:00:00,Denver,Denver Police Department,Gunshot
21,Male,White,2020-01-05 00:00:00,Jay,Portland Police Department,Gunshot
26,Male,Black,2020-01-05 00:00:00,Pierce,Lakewood Police Department,Gunshot
32,Male,Black,2020-01-05 00:00:00,Pulaski,Little Rock Police Department,Gunshot
Unknown,Male,Unknown race,2020-01-05 00:00:00,Miami-Dade,Hialeah Police Department,Gunshot
36,Male,White,2020-01-05 00:00:00,San Diego,San Diego County Sheriff's Office,Gunshot
28,Male,Unknown race,30/04/2020,Los Angeles,Los Angeles Police Department,Gunshot
34,Male,Unknown race,30/04/2020,Galveston,Galveston County Sheriff's Office,Gunshot
43,Male,White,30/04/2020,Johnson,Kentucky State Police,Gunshot
27,Male,Black,29/04/2020,Clark,Indiana State Police,Gunshot
38,Male,Hispanic,29/04/2020,Clark,Las Vegas Metropolitan Police Department,Gunshot
Unknown,Male,Unknown race,29/04/2020,Scott,Sikeston Department of Public Safety,Gunshot
24,Male,Black,29/04/2020,King,Seattle Police Department,Gunshot
29,Male,Hispanic,29/04/2020,Madera,Madera County Sheriff's Office,Gunshot
30,Female,Unknown race,29/04/2020,Creek,Oklahoma Highway Patrol,Vehicle
33,Male,Unknown race,29/04/2020,Creek,Oklahoma Highway Patrol,Vehicle
26,Male,Black,28/04/2020,Hillsborough,Tampa Police Department,Gunshot
32,Male,White,28/04/2020,Maricopa,Phoenix Police Department,Gunshot
45,Male,Unknown race,28/04/2020,Bedford,Pennslyvania State Police,Gunshot
50,Male,White,28/04/2020,Clark,Vancouver Police Department,"Gunshot, Taser"
28,Male,Hispanic,27/04/2020,Harris,Houston Police Department,Gunshot
33,Male,Unknown race,27/04/2020,Crawford,Crawford County Sheriff's Office,Gunshot
61,Male,White,27/04/2020,Coweta,Hogansville Police Department,Gunshot
59,Male,Asian,26/04/2020,Charles,Charles County Sheriff's Office,Gunshot
48,Male,Unknown race,26/04/2020,Passaic,"Mountain Lakes Police Department, Fairfield Police Department, Wayne Police Department",Gunshot
37,Male,Black,25/04/2020,Rock Island,Rock Island Police Department,Gunshot
59,Male,White,25/04/2020,Oxford,Maine State Police,Gunshot
24,Male,White,24/04/2020,Napa,Napa County Sheriff's Office,Gunshot
28,Male,Unknown race,24/04/2020,Caldwell,Caldwell County Sheriff's Office,Gunshot
53,Male,Unknown race,24/04/2020,Denton,Denton County Sheriff's Office,Gunshot
67,Male,Unknown race,24/04/2020,Cook,Cook County Sheriff's Office,Gunshot
42,Male,Hispanic,24/04/2020,Travis,Austin Police Department,Gunshot
42,Male,White,23/04/2020,Passaic,Paterson Police Department,Gunshot
34,Male,Unknown race,23/04/2020,Clark,North Las Vegas Police Department,Gunshot
16,Male,Unknown race,23/04/2020,Boulder,Colorado State Patrol,Vehicle
31,Male,Unknown race,22/04/2020,Baca,Baca County Sheriff's Office,Gunshot
31,Male,Hispanic,22/04/2020,Maricopa,Mesa Police Department,Gunshot
40,Male,Black,22/04/2020,Florence,Florence Police Department,Gunshot
Unknown,Male,Unknown race,22/04/2020,Los Angeles,Los Angeles Police Department,Gunshot
35,Male,Black,22/04/2020,Harris,Harris County Sheriff's Office,Gunshot
24,Male,Black,21/04/2020,Clark,Las Vegas Metropolitan Police Department,Gunshot
27,Male,Hispanic,21/04/2020,Harris,Houston Police Department,Gunshot
29,Male,Unknown race,21/04/2020,Douglas,Douglas County Sheriff's Office,Gunshot
27,Male,Hispanic,21/04/2020,Pima,Tucson Police Department,Physical Restraint
28,Male,Black,19/04/2020,El Paso,Colorado Springs Police Department,Gunshot
31,Male,Hispanic,19/04/2020,Dallas,"Dallas Area Rapid Transit Police Department, Richardson Police Department, Garland Police Department",Gunshot
36,Male,Unknown race,19/04/2020,Los Angeles,Lancaster County Sheriff's Office,Gunshot
40,Male,White,19/04/2020,Clark,Henderson Police Department,Gunshot
25,Male,Black,19/04/2020,Milwaukee,Milwaukee Police Department,Beaten
24,Male,White,18/04/2020,Blue Earth,"Blue Earth County Sheriff's Office, Nicollet County Sheriff's Office, North Mankato Police Department",Gunshot
33,Male,Black,18/04/2020,Alameda,San Leandro Police Department,Gunshot
37,Male,Unknown race,18/04/2020,Jackson,Raytown Police Department,Gunshot
38,Male,Unknown race,18/04/2020,Kern,Kern County Sheriff's Office,Gunshot
30,Male,Black,17/04/2020,Baldwin,Daphne Police Department,Gunshot
43,Male,White,17/04/2020,Anderson,Anderson County Sheriff's Office,Gunshot
31,Male,Black,16/04/2020,Lubbock,"Lubbock Police Department, Lubbock County Sheriff's Office",Gunshot
48,Male,White,16/04/2020,Granite,Granite County Sheriff's Office,Gunshot
24,Male,Hispanic,15/04/2020,Contra Costa,"Oakland Police Department, Richmond Police Department, California Highway Patrol",Gunshot
28,Male,Unknown race,15/04/2020,Cole,Jefferson City Police Department,Gunshot
33,Male,Unknown race,15/04/2020,Onslow,Onslow County Sheriff's Office,Gunshot
39,Male,White,15/04/2020,Washington,"Blair Police Department, Washington County Sheriff's Office",Gunshot
39,Male,Black,15/04/2020,Richmond,Richmond County Sheriff's Office,Gunshot
56,Male,Unknown race,15/04/2020,Fremont,Riverton Police Department,Gunshot
58,Male,White,15/04/2020,Waukesha,Waukesha Police Department,Gunshot
31,Male,White,14/04/2020,Penobscot,Maine State Police,Gunshot
36,Male,Hispanic,13/04/2020,Kern,Kern County Sheriff's Office,Gunshot
Unknown,Male,Unknown race,13/04/2020,Hinds,Jackson Police Department,Gunshot
35,Male,White,2020-12-04 00:00:00,San Mateo,South San Francisco Police Department,Gunshot
47,Male,Hispanic,2020-12-04 00:00:00,Webb,Laredo Police Department,Gunshot
48,Male,Unknown race,2020-12-04 00:00:00,Adams,Ritzville Police Department,Gunshot
56,Male,Unknown race,2020-12-04 00:00:00,Broward,Broward County Sheriff's Office,Gunshot
25,Male,Hispanic,2020-12-04 00:00:00,Valencia,New Mexico State Police,Gunshot
29,Female,White,2020-11-04 00:00:00,Duval,Jacksonville Sheriff's Office,Gunshot
51,Male,White,2020-11-04 00:00:00,Vigo,"Vigo County Sheriff's Office, Indiana State Police, West Terre Haute Police Department, Terre Haute Police Department",Gunshot
54,Male,White,2020-11-04 00:00:00,Clackamas,Clackamas County Sheriff’s Office,Gunshot
Unknown,Male,Unknown race,2020-11-04 00:00:00,Clackamas,Clackamas County Sheriff's Office,Gunshot
31,Male,Black,2020-10-04 00:00:00,Montgomery,Pottstown Police Department,Gunshot
34,Male,Hispanic,2020-10-04 00:00:00,St. Louis City,St. Louis Metropolitan Police Department,Gunshot
Unknown,Male,White,2020-10-04 00:00:00,Klamath,"Klamath County Sheriff's Office, Oregon State Police",Gunshot
33,Male,White,2020-10-04 00:00:00,Philadelphia,Philadelphia Police Department,Gunshot
43,Female,Black,2020-10-04 00:00:00,Jefferson,Birmingham Police Department,Gunshot
34,Male,Unknown race,2020-10-04 00:00:00,Sebastian,Arkansas State Police,Vehicle
19,Male,Black,2020-09-04 00:00:00,Chesterfield,Colonial Heights Police Department,Gunshot
36,Male,White,2020-09-04 00:00:00,Franklin,Winchester Police Department,Gunshot
39,Male,White,2020-09-04 00:00:00,Kiowa,Kiowa County Sheriff's Office,Gunshot
22,Male,Black,2020-09-04 00:00:00,Cuyahoga,Cleveland Police Department,Gunshot
17,Male,Black,2020-08-04 00:00:00,Richland,Columbia Police Department,Gunshot
59,Male,White,2020-08-04 00:00:00,Wicomico,Maryland State Police,Gunshot
Unknown,Male,White,2020-08-04 00:00:00,San Diego,Oceanside Police Department,Tasered
28,Male,White,2020-07-04 00:00:00,Caddo,"Louisiana State Police, Caddo Parish Sheriff's Office",Gunshot
31,Male,White,2020-07-04 00:00:00,Maricopa,El Mirage Police Department,Gunshot
33,Male,Black,2020-07-04 00:00:00,Knox,Knox County Sheriff's Office,Gunshot
37,Male,Unknown race,2020-07-04 00:00:00,Pierce,Pierce County Sheriff's Office,Gunshot
44,Male,Black,2020-07-04 00:00:00,Refugio,Texas Department of Public Safety,Gunshot
38,Male,White,2020-07-04 00:00:00,Clinton,Clinton Police Department,Gunshot
54,Male,White,2020-06-04 00:00:00,Lauderdale,Florence Police Department,Gunshot
44,Male,Black,2020-06-04 00:00:00,Caddo,Shreveport Police Department,Tasered
29,Male,Hispanic,2020-06-04 00:00:00,Miami-Dade,North Miami Beach Police Department,Gunshot
32,Male,White,2020-05-04 00:00:00,Worcester,Milford Police Department,Gunshot
44,Male,White,2020-05-04 00:00:00,Pontotoc,Pontotoc County Sheriff's Office,Gunshot
59,Male,Unknown race,2020-05-04 00:00:00,Miami-Dade,Hialeah Police Department,Gunshot
62,Male,White,2020-05-04 00:00:00,Hillsborough,Manchester Police Department,Gunshot
67,Male,White,2020-05-04 00:00:00,Brevard,Melbourne Police Department,Gunshot
Unknown,Male,Unknown race,2020-04-04 00:00:00,Harrison,Stonewood Police Department,Gunshot
27,Male,Hispanic,2020-03-04 00:00:00,Hartford,"Manchester Police Department, Wethersfield Police Department, Enfield Police Department",Gunshot
Unknown,Male,White,2020-03-04 00:00:00,Mercer,Trenton Police Department,Physical Restraint
30,Male,Hispanic,2020-02-04 00:00:00,Maricopa,Mesa Police Department,Gunshot
40,Male,White,2020-02-04 00:00:00,Lincoln,Lincoln City Police Department,Gunshot
66,Male,Black,2020-02-04 00:00:00,Ouachita,Ouachita Parish Sheriff's Office,Gunshot
69,Male,White,2020-02-04 00:00:00,Dallas,Irving Police Department,Gunshot
19,Male,White,2020-01-04 00:00:00,Lowndes,"Lowndes County Sheriff's Office, Columbus Police Department",Gunshot
Unknown,Male,Unknown race,2020-01-04 00:00:00,Cumberland,"Cumberland County Sheriff's Office, Kentucky State Police",Gunshot
36,Male,White,2020-01-04 00:00:00,Platte,Platte County Sheriff's Office,Gunshot
28,Male,White,2020-01-04 00:00:00,Riverside,Riverside County Sheriff's Department,Gunshot
29,Male,White,31/03/2020,Buncombe,Buncombe County Sheriff's Office,Gunshot
29,Male,Unknown race,31/03/2020,Rockingham,"Harrisonburg Police Department, Rockingham County Sheriff's Office, Virginia State Police",Gunshot
37,Male,Hispanic,30/03/2020,Los Angeles,Pomona Police Department,Gunshot
38,Male,Black,30/03/2020,Baltimore City,Baltimore Police Department,Gunshot
44,Male,White,30/03/2020,Jefferson,Louisville Metro Police Department,Gunshot
52,Male,Hispanic,30/03/2020,Bernalillo,Albuquerque Police Department,Gunshot
22,Male,White,29/03/2020,Maricopa,Phoenix Police Department,Gunshot
46,Male,White,28/03/2020,Canyon,Caldwell Police Department,Gunshot
49,Male,Unknown race,28/03/2020,Knox,"Kentucky State Police, Knox County Sheriff's Office",Gunshot
26,Male,Black,27/03/2020,Orange,Newburgh Police Department,Gunshot
46,Male,White,27/03/2020,Botetourt,Botetourt County Sheriff's Office,Gunshot
51,Male,Unknown race,27/03/2020,Marion,Oregon State Police,Gunshot
Unknown,Male,Unknown race,27/03/2020,Lee,Lee County Sheriff's Office,Gunshot
55,Female,White,26/03/2020,Volusia,Ormond Beach Police Department,Gunshot
32,Male,White,26/03/2020,Davidson,Davidson County Sheriff's Office,Gunshot
19,Male,White,25/03/2020,Nye,Nye County Sheriff's Office,Gunshot
53,Male,White,25/03/2020,Pope,Pope County Sheriff's Office,Gunshot
Unknown,Male,Unknown race,25/03/2020,Glacier,"Glacier County Sheriff's Office, Blackfeet Law Enforcement Service, U.S. Bureau of Indian Affairs",Gunshot
31,Male,Hispanic,24/03/2020,El Paso,El Paso County Sheriff's Office,Gunshot
34,Male,White,24/03/2020,Schenectady,Schenectady Police Department,Gunshot
45,Male,White,24/03/2020,Forsyth,"Davidson County Sheriff's Office, Forsyth County Sheriff's Office",Gunshot
32,Female,White,24/03/2020,Mason,Mason County Sheriff's Office,Gunshot
46,Male,Hispanic,23/03/2020,Bexar,San Antonio Police Department,Gunshot
50,Male,White,23/03/2020,Kern,Kern County Sheriff's Office,Gunshot
55,Male,Unknown race,22/03/2020,Fresno,Fresno Police Department,Gunshot
21,Male,Unknown race,21/03/2020,Franklin,Franklin County Sheriff's Office,Gunshot
28,Male,Unknown race,21/03/2020,Salt Lake,Unified Police Department of Greater Salt Lake,Gunshot
25,Male,White,21/03/2020,Eddy,U.S. National Park Service,Gunshot
30,Male,Unknown race,21/03/2020,Kern,Kern County Sheriff's Office,Gunshot
52,Male,Unknown race,21/03/2020,Citrus,Citrus County Sheriff's Office,Gunshot
18,Male,Black,20/03/2020,Randolph,Cuthbert Police Department,Gunshot
23,Male,Black,20/03/2020,Virginia Beach City,Virginia Beach Police Department,Gunshot
39,Male,White,20/03/2020,Franklin,"Franklin County Sheriff's Office, Winchester Police Department",Gunshot
31,Male,Black,20/03/2020,Leon,Tallahassee Police Department,Gunshot
33,Male,White,19/03/2020,Livingston,Livingston County Sheriff's Office,Gunshot
47,Male,White,19/03/2020,Orange,Port Jervis Police Department,"Gunshot, Taser"
61,Male,Black,19/03/2020,Acadia,Iota Police Department,Gunshot
28,Male,Black,18/03/2020,Taylor,Abilene Police Department,"Gunshot, Taser"
58,Male,White,18/03/2020,St. Joseph,St. Joseph County Police Department,Tasered
Unknown,Male,Unknown race,18/03/2020,Pasco,Pasco County Sheriff's Office,Tasered
39,Male,Black,17/03/2020,Fulton,Atlanta Police Department,Gunshot
51,Male,White,17/03/2020,Mesa,"Grand Junction Police Department, Mesa County Sheriff's Office",Gunshot
35,Male,Black,16/03/2020,Hamilton,Iowa State Patrol,Gunshot
58,Male,Hispanic,16/03/2020,Bexar,San Antonio Police Department,Gunshot
Unknown,Male,Unknown race,16/03/2020,Miami-Dade,Miami-Dade Police Department,Gunshot
55,Male,Unknown race,16/03/2020,Pima,Pima County Sheriff's Office,Gunshot
42,Female,White,16/03/2020,Lebanon,Pennsylvania State Police,Gunshot
